q,qb
0,1.2
1.00E-03,1.2
2.00E-03,1.2
3.00E-03,1.2
4.00E-03,1.2
5.00E-03,1.2
6.00E-03,1.2
7.00E-03,1.2
8.00E-03,1.2
9.00E-03,1.2
0.01,1.2
0.011,1.2
0.012,1.2
0.013,1.2
0.014,1.2
0.015,1.2
0.016,1.2
0.017,1.2
0.018,1.2
0.019,1.2
0.02,1.2
0.021,1.2
0.022,1.2
0.023,1.2
0.024,1.2
0.025,1.2
0.026,1.2
0.027,1.2
0.028,1.2
0.029,1.2
0.03,1.2
0.031,1.2
0.032,1.2
0.033,1.2
0.034,1.2
0.035,1.2
0.036,1.2
0.037,1.2
0.038,1.2
0.039,1.2
0.04,1.2
0.041,1.2
0.042,1.2
0.043,1.2
0.044,1.2
0.045,1.2
0.046,1.2
0.047,1.2
0.048,1.2
0.049,1.2
0.05,1.2
0.051,1.2
0.052,1.2
0.053,1.2
0.054,1.2
0.055,1.2
0.056,1.2
0.057,1.2
0.058,1.2
0.059,1.2
0.06,1.2
0.061,1.2
0.062,1.2
0.063,1.2
0.064,1.2
0.065,1.2
0.066,1.2
0.067,1.2
0.068,1.2
0.069,1.2
0.07,1.2
0.071,1.2
0.072,1.2
0.073,1.2
0.074,1.2
0.075,1.2
0.076,1.2
0.077,1.2
0.078,1.2
0.079,1.2
0.08,1.2
0.081,1.2
0.082,1.2
0.083,1.2
0.084,1.2
0.085,1.2
0.086,1.2
0.087,1.2
0.088,1.2
0.089,1.2
0.09,1.2
0.091,1.2
0.092,1.2
0.093,1.2
0.094,1.2
0.095,1.2
0.096,1.2
0.097,1.2
0.098,1.2
0.099,1.2
0.1,1.2
0.101,1.2
0.102,1.2
0.103,1.2
0.104,1.2
0.105,1.2
0.106,1.2
0.107,1.2
0.108,1.2
0.109,1.2
0.11,1.2
0.111,1.2
0.112,1.2
0.113,1.2
0.114,1.2
0.115,1.2
0.116,1.2
0.117,1.2
0.118,1.2
0.119,1.2
0.12,1.2
0.121,1.2
0.122,1.2
0.123,1.2
0.124,1.2
0.125,1.2
0.126,1.2
0.127,1.2
0.128,1.2
0.129,1.2
0.13,1.2
0.131,1.2
0.132,1.2
0.133,1.2
0.134,1.2
0.135,1.2
0.136,1.2
0.137,1.2
0.138,1.2
0.139,1.2
0.14,1.2
0.141,1.2
0.142,1.2
0.143,1.2
0.144,1.2
0.145,1.2
0.146,1.2
0.147,1.2
0.148,1.2
0.149,1.2
0.15,1.2
0.151,1.2
0.152,1.2
0.153,1.2
0.154,1.2
0.155,1.2
0.156,1.2
0.157,1.2
0.158,1.2
0.159,1.2
0.16,1.2
0.161,1.2
0.162,1.2
0.163,1.2
0.164,1.2
0.165,1.2
0.166,1.2
0.167,1.2
0.168,1.2
0.169,1.2
0.17,1.2
0.171,1.2
0.172,1.2
0.173,1.2
0.174,1.2
0.175,1.2
0.176,1.2
0.177,1.2
0.178,1.2
0.179,1.2
0.18,1.2
0.181,1.2
0.182,1.2
0.183,1.2
0.184,1.2
0.185,1.2
0.186,1.2
0.187,1.2
0.188,1.2
0.189,1.2
0.19,1.2
0.191,1.2
0.192,1.2
0.193,1.2
0.194,1.2
0.195,1.2
0.196,1.2
0.197,1.2
0.198,1.2
0.199,1.2
0.2,1.2
0.201,1.2
0.202,1.2
0.203,1.2
0.204,1.2
0.205,1.2
0.206,1.2
0.207,1.2
0.208,1.2
0.209,1.2
0.21,1.2
0.211,1.2
0.212,1.2
0.213,1.2
0.214,1.2
0.215,1.2
0.216,1.2
0.217,1.2
0.218,1.2
0.219,1.2
0.22,1.2
0.221,1.2
0.222,1.2
0.223,1.2
0.224,1.2
0.225,1.2
0.226,1.2
0.227,1.2
0.228,1.2
0.229,1.2
0.23,1.2
0.231,1.2
0.232,1.2
0.233,1.2
0.234,1.2
0.235,1.2
0.236,1.2
0.237,1.2
0.238,1.2
0.239,1.2
0.24,1.2
0.241,1.2
0.242,1.2
0.243,1.2
0.244,1.2
0.245,1.2
0.246,1.2
0.247,1.2
0.248,1.2
0.249,1.2
0.25,1.2
0.251,1.2
0.252,1.2
0.253,1.2
0.254,1.2
0.255,1.2
0.256,1.2
0.257,1.2
0.258,1.2
0.259,1.2
0.26,1.2
0.261,1.2
0.262,1.2
0.263,1.2
0.264,1.2
0.265,1.2
0.266,1.2
0.267,1.2
0.268,1.2
0.269,1.2
0.27,1.2
0.271,1.2
0.272,1.2
0.273,1.2
0.274,1.2
0.275,1.2
0.276,1.2
0.277,1.2
0.278,1.2
0.279,1.2
0.28,1.2
0.281,1.2
0.282,1.2
0.283,1.2
0.284,1.2
0.285,1.2
0.286,1.199
0.287,1.199
0.288,1.199
0.289,1.199
0.29,1.199
0.291,1.199
0.292,1.199
0.293,1.199
0.294,1.199
0.295,1.199
0.296,1.199
0.297,1.199
0.298,1.199
0.299,1.199
0.3,1.199
0.301,1.199
0.302,1.199
0.303,1.199
0.304,1.199
0.305,1.199
0.306,1.199
0.307,1.199
0.308,1.199
0.309,1.199
0.31,1.199
0.311,1.199
0.312,1.199
0.313,1.199
0.314,1.199
0.315,1.199
0.316,1.199
0.317,1.199
0.318,1.199
0.319,1.199
0.32,1.199
0.321,1.199
0.322,1.199
0.323,1.199
0.324,1.199
0.325,1.199
0.326,1.199
0.327,1.199
0.328,1.199
0.329,1.199
0.33,1.199
0.331,1.199
0.332,1.198
0.333,1.198
0.334,1.198
0.335,1.198
0.336,1.198
0.337,1.198
0.338,1.198
0.339,1.198
0.34,1.198
0.341,1.198
0.342,1.198
0.343,1.198
0.344,1.198
0.345,1.198
0.346,1.198
0.347,1.198
0.348,1.198
0.349,1.198
0.35,1.198
0.351,1.198
0.352,1.198
0.353,1.198
0.354,1.198
0.355,1.197
0.356,1.197
0.357,1.197
0.358,1.197
0.359,1.197
0.36,1.197
0.361,1.197
0.362,1.197
0.363,1.197
0.364,1.197
0.365,1.197
0.366,1.197
0.367,1.197
0.368,1.197
0.369,1.197
0.37,1.197
0.371,1.196
0.372,1.196
0.373,1.196
0.374,1.196
0.375,1.196
0.376,1.196
0.377,1.196
0.378,1.196
0.379,1.196
0.38,1.196
0.381,1.196
0.382,1.196
0.383,1.195
0.384,1.195
0.385,1.195
0.386,1.195
0.387,1.195
0.388,1.195
0.389,1.195
0.39,1.195
0.391,1.195
0.392,1.195
0.393,1.194
0.394,1.194
0.395,1.194
0.396,1.194
0.397,1.194
0.398,1.194
0.399,1.194
0.4,1.194
0.401,1.193
0.402,1.193
0.403,1.193
0.404,1.193
0.405,1.193
0.406,1.193
0.407,1.193
0.408,1.192
0.409,1.192
0.41,1.192
0.411,1.192
0.412,1.192
0.413,1.192
0.414,1.192
0.415,1.191
0.416,1.191
0.417,1.191
0.418,1.191
0.419,1.191
0.42,1.191
0.421,1.19
0.422,1.19
0.423,1.19
0.424,1.19
0.425,1.19
0.426,1.189
0.427,1.189
0.428,1.189
0.429,1.189
0.43,1.189
0.431,1.188
0.432,1.188
0.433,1.188
0.434,1.188
0.435,1.187
0.436,1.187
0.437,1.187
0.438,1.187
0.439,1.186
0.44,1.186
0.441,1.186
0.442,1.186
0.443,1.185
0.444,1.185
0.445,1.185
0.446,1.185
0.447,1.184
0.448,1.184
0.449,1.184
0.45,1.183
0.451,1.183
0.452,1.183
0.453,1.183
0.454,1.182
0.455,1.182
0.456,1.182
0.457,1.181
0.458,1.181
0.459,1.181
0.46,1.18
0.461,1.18
0.462,1.179
0.463,1.179
0.464,1.179
0.465,1.178
0.466,1.178
0.467,1.178
0.468,1.177
0.469,1.177
0.47,1.176
0.471,1.176
0.472,1.175
0.473,1.175
0.474,1.175
0.475,1.174
0.476,1.174
0.477,1.173
0.478,1.173
0.479,1.172
0.48,1.172
0.481,1.171
0.482,1.171
0.483,1.17
0.484,1.17
0.485,1.169
0.486,1.168
0.487,1.168
0.488,1.167
0.489,1.167
0.49,1.166
0.491,1.166
0.492,1.165
0.493,1.164
0.494,1.164
0.495,1.163
0.496,1.162
0.497,1.162
0.498,1.161
0.499,1.16
0.5,1.159
0.501,1.159
0.502,1.158
0.503,1.157
0.504,1.156
0.505,1.156
0.506,1.155
0.507,1.154
0.508,1.153
0.509,1.152
0.51,1.151
0.511,1.15
0.512,1.149
0.513,1.148
0.514,1.147
0.515,1.146
0.516,1.145
0.517,1.144
0.518,1.143
0.519,1.142
0.52,1.141
0.521,1.14
0.522,1.139
0.523,1.137
0.524,1.136
0.525,1.135
0.526,1.133
0.527,1.132
0.528,1.131
0.529,1.129
0.53,1.128
0.531,1.126
0.532,1.125
0.533,1.123
0.534,1.121
0.535,1.12
0.536,1.118
0.537,1.116
0.538,1.114
0.539,1.112
0.54,1.11
0.541,1.108
0.542,1.106
0.543,1.103
0.544,1.101
0.545,1.098
0.546,1.096
0.547,1.093
0.548,1.09
0.549,1.087
0.55,1.084
0.551,1.081
0.552,1.078
0.553,1.074
0.554,1.07
0.555,1.066
0.556,1.062
0.557,1.058
0.558,1.053
0.559,1.048
0.56,1.043
0.561,1.037
0.562,1.032
0.563,1.025
0.564,1.019
0.565,1.012
0.566,1.005
0.567,0.9968
0.568,0.9887
0.569,0.9802
0.57,0.9713
0.571,0.962
0.572,0.9523
0.573,0.9424
0.574,0.9321
0.575,0.9215
0.576,0.9107
0.577,0.8996
0.578,0.8883
0.579,0.8769
0.58,0.8653
0.581,0.8535
0.582,0.8416
0.583,0.8295
0.584,0.8174
0.585,0.8052
0.586,0.7929
0.587,0.7806
0.588,0.7682
0.589,0.7557
0.59,0.7432
0.591,0.7307
0.592,0.7182
0.593,0.7056
0.594,0.6931
0.595,0.6805
0.596,0.6679
0.597,0.6554
0.598,0.6428
0.599,0.6303
0.6,0.6178
0.601,0.6053
0.602,0.5928
0.603,0.5804
0.604,0.568
0.605,0.5556
0.606,0.5433
0.607,0.531
0.608,0.5188
0.609,0.5066
0.61,0.4945
0.611,0.4825
0.612,0.4705
0.613,0.4586
0.614,0.4467
0.615,0.435
0.616,0.4233
0.617,0.4117
0.618,0.4002
0.619,0.3888
0.62,0.3774
0.621,0.3662
0.622,0.3552
0.623,0.3442
0.624,0.3333
0.625,0.3226
0.626,0.3121
0.627,0.3017
0.628,0.2915
0.629,0.2815
0.63,0.2717
0.631,0.2622
0.632,0.2529
0.633,0.244
0.634,0.2354
0.635,0.2272
0.636,0.2195
0.637,0.2121
0.638,0.2052
0.639,0.1987
0.64,0.1927
0.641,0.1869
0.642,0.1816
0.643,0.1765
0.644,0.1717
0.645,0.1672
0.646,0.1629
0.647,0.1589
0.648,0.155
0.649,0.1513
0.65,0.1477
0.651,0.1443
0.652,0.1411
0.653,0.1379
0.654,0.1349
0.655,0.132
0.656,0.1292
0.657,0.1265
0.658,0.1239
0.659,0.1214
0.66,0.1189
0.661,0.1165
0.662,0.1142
0.663,0.112
0.664,0.1098
0.665,0.1077
0.666,0.1056
0.667,0.1036
0.668,0.1017
0.669,0.09975
0.67,0.09789
0.671,0.09608
0.672,0.09431
0.673,0.09258
0.674,0.0909
0.675,0.08925
0.676,0.08764
0.677,0.08607
0.678,0.08453
0.679,0.08303
0.68,0.08155
0.681,0.08011
0.682,0.0787
0.683,0.07732
0.684,0.07597
0.685,0.07465
0.686,0.07335
0.687,0.07208
0.688,0.07083
0.689,0.06961
0.69,0.06841
0.691,0.06723
0.692,0.06608
0.693,0.06495
0.694,0.06384
0.695,0.06275
0.696,0.06168
0.697,0.06063
0.698,0.0596
0.699,0.05859
0.7,0.05759
0.701,0.05662
0.702,0.05566
0.703,0.05472
0.704,0.0538
0.705,0.05289
0.706,0.052
0.707,0.05112
0.708,0.05026
0.709,0.04941
0.71,0.04858
0.711,0.04776
0.712,0.04696
0.713,0.04617
0.714,0.04539
0.715,0.04463
0.716,0.04388
0.717,0.04314
0.718,0.04241
0.719,0.0417
0.72,0.041
0.721,0.04031
0.722,0.03963
0.723,0.03896
0.724,0.0383
0.725,0.03766
0.726,0.03702
0.727,0.0364
0.728,0.03578
0.729,0.03518
0.73,0.03458
0.731,0.03399
0.732,0.03342
0.733,0.03285
0.734,0.03229
0.735,0.03175
0.736,0.03121
0.737,0.03067
0.738,0.03015
0.739,0.02964
0.74,0.02913
0.741,0.02863
0.742,0.02815
0.743,0.02766
0.744,0.02719
0.745,0.02672
0.746,0.02626
0.747,0.02581
0.748,0.02537
0.749,0.02493
0.75,0.0245
0.751,0.02408
0.752,0.02366
0.753,0.02325
0.754,0.02285
0.755,0.02245
0.756,0.02206
0.757,0.02168
0.758,0.0213
0.759,0.02093
0.76,0.02056
0.761,0.0202
0.762,0.01985
0.763,0.0195
0.764,0.01915
0.765,0.01882
0.766,0.01849
0.767,0.01816
0.768,0.01784
0.769,0.01752
0.77,0.01721
0.771,0.01691
0.772,0.0166
0.773,0.01631
0.774,0.01602
0.775,0.01573
0.776,0.01545
0.777,0.01517
0.778,0.0149
0.779,0.01463
0.78,0.01437
0.781,0.01411
0.782,0.01386
0.783,0.0136
0.784,0.01336
0.785,0.01312
0.786,0.01288
0.787,0.01264
0.788,0.01241
0.789,0.01219
0.79,0.01196
0.791,0.01174
0.792,0.01153
0.793,0.01132
0.794,0.01111
0.795,0.0109
0.796,0.0107
0.797,0.0105
0.798,0.01031
0.799,0.01012
0.8,9.93E-03
0.801,9.75E-03
0.802,9.56E-03
0.803,9.39E-03
0.804,9.21E-03
0.805,9.04E-03
0.806,8.87E-03
0.807,8.70E-03
0.808,8.54E-03
0.809,8.38E-03
0.81,8.22E-03
0.811,8.06E-03
0.812,7.91E-03
0.813,7.76E-03
0.814,7.62E-03
0.815,7.47E-03
0.816,7.33E-03
0.817,7.19E-03
0.818,7.05E-03
0.819,6.92E-03
0.82,6.78E-03
0.821,6.65E-03
0.822,6.53E-03
0.823,6.40E-03
0.824,6.28E-03
0.825,6.16E-03
0.826,6.04E-03
0.827,5.92E-03
0.828,5.81E-03
0.829,5.69E-03
0.83,5.58E-03
0.831,5.48E-03
0.832,5.37E-03
0.833,5.26E-03
0.834,5.16E-03
0.835,5.06E-03
0.836,4.96E-03
0.837,4.86E-03
0.838,4.77E-03
0.839,4.67E-03
0.84,4.58E-03
0.841,4.49E-03
0.842,4.40E-03
0.843,4.32E-03
0.844,4.23E-03
0.845,4.15E-03
0.846,4.07E-03
0.847,3.98E-03
0.848,3.91E-03
0.849,3.83E-03
0.85,3.75E-03
0.851,3.68E-03
0.852,3.60E-03
0.853,3.53E-03
0.854,3.46E-03
0.855,3.39E-03
0.856,3.32E-03
0.857,3.26E-03
0.858,3.19E-03
0.859,3.13E-03
0.86,3.06E-03
0.861,3.00E-03
0.862,2.94E-03
0.863,2.88E-03
0.864,2.82E-03
0.865,2.77E-03
0.866,2.71E-03
0.867,2.65E-03
0.868,2.60E-03
0.869,2.55E-03
0.87,2.49E-03
0.871,2.44E-03
0.872,2.39E-03
0.873,2.34E-03
0.874,2.30E-03
0.875,2.25E-03
0.876,2.20E-03
0.877,2.16E-03
0.878,2.11E-03
0.879,2.07E-03
0.88,2.03E-03
0.881,1.99E-03
0.882,1.94E-03
0.883,1.90E-03
0.884,1.86E-03
0.885,1.83E-03
0.886,1.79E-03
0.887,1.75E-03
0.888,1.71E-03
0.889,1.68E-03
0.89,1.64E-03
0.891,1.61E-03
0.892,1.58E-03
0.893,1.54E-03
0.894,1.51E-03
0.895,1.48E-03
0.896,1.45E-03
0.897,1.42E-03
0.898,1.39E-03
0.899,1.36E-03
0.9,1.33E-03
0.901,1.30E-03
0.902,1.27E-03
0.903,1.25E-03
0.904,1.22E-03
0.905,1.19E-03
0.906,1.17E-03
0.907,1.14E-03
0.908,1.12E-03
0.909,1.10E-03
0.91,1.07E-03
0.911,1.05E-03
0.912,1.03E-03
0.913,1.01E-03
0.914,9.84E-04
0.915,9.63E-04
0.916,9.43E-04
0.917,9.23E-04
0.918,9.03E-04
0.919,8.83E-04
0.92,8.65E-04
0.921,8.46E-04
0.922,8.28E-04
0.923,8.10E-04
0.924,7.93E-04
0.925,7.75E-04
0.926,7.59E-04
0.927,7.42E-04
0.928,7.26E-04
0.929,7.11E-04
0.93,6.95E-04
0.931,6.80E-04
0.932,6.65E-04
0.933,6.51E-04
0.934,6.37E-04
0.935,6.23E-04
0.936,6.10E-04
0.937,5.96E-04
0.938,5.83E-04
0.939,5.71E-04
0.94,5.58E-04
0.941,5.46E-04
0.942,5.34E-04
0.943,5.22E-04
0.944,5.11E-04
0.945,5.00E-04
0.946,4.89E-04
0.947,4.78E-04
0.948,4.68E-04
0.949,4.57E-04
0.95,4.47E-04
0.951,4.38E-04
0.952,4.28E-04
0.953,4.19E-04
0.954,4.09E-04
0.955,4.00E-04
0.956,3.92E-04
0.957,3.83E-04
0.958,3.74E-04
0.959,3.66E-04
0.96,3.58E-04
0.961,3.50E-04
0.962,3.42E-04
0.963,3.35E-04
0.964,3.27E-04
0.965,3.20E-04
0.966,3.13E-04
0.967,3.06E-04
0.968,2.99E-04
0.969,2.93E-04
0.97,2.86E-04
0.971,2.80E-04
0.972,2.74E-04
0.973,2.68E-04
0.974,2.62E-04
0.975,2.56E-04
0.976,2.50E-04
0.977,2.44E-04
0.978,2.39E-04
0.979,2.34E-04
0.98,2.28E-04
0.981,2.23E-04
0.982,2.18E-04
0.983,2.13E-04
0.984,2.09E-04
0.985,2.04E-04
0.986,1.99E-04
0.987,1.95E-04
0.988,1.91E-04
0.989,1.86E-04
0.99,1.82E-04
0.991,1.78E-04
0.992,1.74E-04
0.993,1.70E-04
0.994,1.66E-04
0.995,1.63E-04
0.996,1.59E-04
0.997,1.55E-04
0.998,1.52E-04
0.999,1.48E-04
1,1.45E-04
1.001,1.42E-04
1.002,1.39E-04
1.003,1.36E-04
1.004,1.32E-04
1.005,1.29E-04
1.006,1.27E-04
1.007,1.24E-04
1.008,1.21E-04
1.009,1.18E-04
1.01,1.16E-04
1.011,1.13E-04
1.012,1.10E-04
1.013,1.08E-04
1.014,1.05E-04
1.015,1.03E-04
1.016,1.01E-04
1.017,9.84E-05
1.018,9.62E-05
1.019,9.40E-05
1.02,9.19E-05
1.021,8.98E-05
1.022,8.78E-05
1.023,8.58E-05
1.024,8.39E-05
1.025,8.20E-05
1.026,8.01E-05
1.027,7.83E-05
1.028,7.65E-05
1.029,7.48E-05
1.03,7.31E-05
1.031,7.15E-05
1.032,6.98E-05
1.033,6.83E-05
1.034,6.67E-05
1.035,6.52E-05
1.036,6.37E-05
1.037,6.23E-05
1.038,6.09E-05
1.039,5.95E-05
1.04,5.82E-05
1.041,5.68E-05
1.042,5.56E-05
1.043,5.43E-05
1.044,5.31E-05
1.045,5.19E-05
1.046,5.07E-05
1.047,4.95E-05
1.048,4.84E-05
1.049,4.73E-05
1.05,4.63E-05
1.051,4.52E-05
1.052,4.42E-05
1.053,4.32E-05
1.054,4.22E-05
1.055,4.13E-05
1.056,4.03E-05
1.057,3.94E-05
1.058,3.85E-05
1.059,3.77E-05
1.06,3.68E-05
1.061,3.60E-05
1.062,3.52E-05
1.063,3.44E-05
1.064,3.36E-05
1.065,3.29E-05
1.066,3.21E-05
1.067,3.14E-05
1.068,3.07E-05
1.069,3.00E-05
1.07,2.93E-05
1.071,2.87E-05
1.072,2.80E-05
1.073,2.74E-05
1.074,2.68E-05
1.075,2.62E-05
1.076,2.56E-05
1.077,2.50E-05
1.078,2.45E-05
1.079,2.39E-05
1.08,2.34E-05
1.081,2.29E-05
1.082,2.23E-05
1.083,2.18E-05
1.084,2.14E-05
1.085,2.09E-05
1.086,2.04E-05
1.087,2.00E-05
1.088,1.95E-05
1.089,1.91E-05
1.09,1.87E-05
1.091,1.83E-05
1.092,1.78E-05
1.093,1.75E-05
1.094,1.71E-05
1.095,1.67E-05
1.096,1.63E-05
1.097,1.60E-05
1.098,1.56E-05
1.099,1.53E-05
1.1,1.49E-05
1.101,1.46E-05
1.102,1.43E-05
1.103,1.40E-05
1.104,1.37E-05
1.105,1.34E-05
1.106,1.31E-05
1.107,1.28E-05
1.108,1.25E-05
1.109,1.22E-05
1.11,1.20E-05
1.111,1.17E-05
1.112,1.15E-05
1.113,1.12E-05
1.114,1.10E-05
1.115,1.07E-05
1.116,1.05E-05
1.117,1.03E-05
1.118,1.01E-05
1.119,9.83E-06
1.12,9.62E-06
1.121,9.42E-06
1.122,9.22E-06
1.123,9.02E-06
1.124,8.83E-06
1.125,8.64E-06
1.126,8.46E-06
1.127,8.28E-06
1.128,8.10E-06
1.129,7.93E-06
1.13,7.77E-06
1.131,7.60E-06
1.132,7.44E-06
1.133,7.29E-06
1.134,7.14E-06
1.135,6.99E-06
1.136,6.84E-06
1.137,6.70E-06
1.138,6.56E-06
1.139,6.43E-06
1.14,6.30E-06
1.141,6.17E-06
1.142,6.04E-06
1.143,5.92E-06
1.144,5.80E-06
1.145,5.68E-06
1.146,5.57E-06
1.147,5.45E-06
1.148,5.34E-06
1.149,5.24E-06
1.15,5.13E-06
1.151,5.03E-06
1.152,4.93E-06
1.153,4.83E-06
1.154,4.74E-06
1.155,4.65E-06
1.156,4.55E-06
1.157,4.47E-06
1.158,4.38E-06
1.159,4.29E-06
1.16,4.21E-06
1.161,4.13E-06
1.162,4.05E-06
1.163,3.97E-06
1.164,3.90E-06
1.165,3.83E-06
1.166,3.75E-06
1.167,3.68E-06
1.168,3.61E-06
1.169,3.55E-06
1.17,3.48E-06
1.171,3.42E-06
1.172,3.36E-06
1.173,3.29E-06
1.174,3.23E-06
1.175,3.18E-06
1.176,3.12E-06
1.177,3.06E-06
1.178,3.01E-06
1.179,2.96E-06
1.18,2.90E-06
1.181,2.85E-06
1.182,2.80E-06
1.183,2.76E-06
1.184,2.71E-06
1.185,2.66E-06
1.186,2.62E-06
1.187,2.57E-06
1.188,2.53E-06
1.189,2.49E-06
1.19,2.45E-06
1.191,2.41E-06
1.192,2.37E-06
1.193,2.33E-06
1.194,2.29E-06
1.195,2.25E-06
1.196,2.22E-06
1.197,2.18E-06
1.198,2.15E-06
1.199,2.12E-06
1.2,2.08E-06
